code_postal,code_insee,nom_commune
02160,02453,Maizy
02120,02450,Macquigny
02470,02449,Macogny
02350,02448,Mâchecourt
02440,02446,Ly-Fontaine
02220,02447,Maast-et-Violaine
02500,02445,Luzoir
02140,02444,Lugny
02400,02443,Lucy-le-Bocage
02130,02442,Loupeigne
02190,02440,Lor
02600,02441,Louâtre
02160,02439,Les Septvallons
02600,02438,Longpont
02500,02435,Logny-lès-Aubenton
02340,02433,Lislet
02860,02429,Lierval
02220,02432,Limé
02700,02431,Liez
02350,02430,Liesse-Notre-Dame
02810,02428,Licy-Clignon
02220,02427,Lhuys
02880,02424,Leury
02420,02426,Levergies
02500,02425,Leuze
02380,02423,Leuilly-sous-Coucy
02120,02422,Lesquielles-Saint-Germain
02220,02421,Lesges
02100,02420,Lesdins
02420,02417,Lempire
02170,02419,Leschelle
02140,02416,Lemé
02260,02418,Lerzy
02600,02415,Laversine
02450,02414,Lavaqueresse
02210,02412,Launoy
02210,02411,Latilly
02860,02413,Laval-en-Laonnois
02600,02410,Largny-sur-Automne
02150,02409,Lappion
02380,02406,Landricourt
02000,02407,Laniscourt
02140,02405,Landouzy-la-Ville
02140,02404,Landouzy-la-Cour
02000,02408,Laon
02120,02403,Landifay-et-Bertaignemont
02590,02402,Lanchy
02140,02401,Laigny
02880,02400,Laffaux
02190,02399,Juvincourt-et-Damary
02880,02398,Juvigny
02480,02397,Jussy
02160,02396,Jumigny
02380,02395,Jumencourt
02220,02393,Jouaignes
02140,02391,Jeantes
02420,02392,Joncourt
02490,02390,Jeancourt
02850,02389,Jaulgonne
02250,02385,Housset
02510,02386,Iron
02240,02387,Itancourt
02360,02388,Iviers
02140,02384,Houry
02720,02383,Homblières
02440,02380,Hinacourt
02760,02382,Holnon
02500,02381,Hirson
02500,02378,La Hérie
02120,02379,Le Hérie-la-Viéville
02140,02377,Haution
02120,02376,Hauteville
02810,02375,Hautevesnes
02140,02373,Hary
02420,02374,Lehaucourt
02210,02372,Hartennes-et-Taux
02100,02371,Harly
02480,02367,Happencourt
02140,02369,Harcigny
02600,02368,Haramont
02420,02370,Hargicourt
02510,02366,Hannapes
02300,02362,Guivry
02300,02363,Guny
02160,02364,Guyencourt
02120,02361,Guise
02190,02360,Villeneuve-sur-Aisne
02110,02358,Grougis
02680,02359,Grugies
02140,02357,Gronard
02360,02354,Grandrieux
02210,02356,Grisolles
02100,02355,Gricourt
02350,02353,Grandlup-et-Fay
02420,02352,Gouy
02130,02351,Goussancourt
02820,02349,Goudelancourt-lès-Berrieux
02350,02350,Goudelancourt-lès-Pierrepont
02400,02347,Gland
02350,02346,Gizy
02440,02345,Gibercourt
02590,02343,Germaine
02260,02342,Gergny
02140,02341,Gercy
02810,02339,Gandelu
02430,02340,Gauchy
02270,02338,Froidmont-Cohartille
02260,02337,Froidestrées
02700,02336,Frières-Faillouël
02380,02333,Fresnes-sous-Coucy
02130,02332,Fresnes-en-Tardenois
02800,02335,Fressancourt
02230,02334,Fresnoy-le-Grand
02140,02331,Franqueville
02760,02330,Francilly-Selency
02870,02329,Fourdrain
02590,02327,Foreste
02290,02326,Fontenoy
02650,02328,Fossoy
02170,02324,Fontenelle
02110,02323,Fontaine-Uterte
